"ALIEF ISD","HEARNE EL","101903115","101903","101","04","HARRIS","E","EE - 04","N"
"ALIEF ISD","HEFLIN EL","101903111","101903","101","04","HARRIS","E","PK - 05","N"
"ALIEF ISD","HICKS EL","101903120","101903","101","04","HARRIS","E","EE - 04","N"
"ALIEF ISD","HOLUB MIDDLE","101903044","101903","101","04","HARRIS","M","07 - 08","N"
"ALIEF ISD","KENNEDY EL","101903107","101903","101","04","HARRIS","E","EE - 04","N"
"ALIEF ISD","KERR H S","101903006","101903","101","04","HARRIS","S","09 - 12","N"
"ALIEF ISD","KILLOUGH MIDDLE","101903043","101903","101","04","HARRIS","M","07 - 08","N"
"ALIEF ISD","KLENTZMAN INT","101903141","101903","101","04","HARRIS","M","05 - 06","N"
"ALIEF ISD","LANDIS EL","101903116","101903","101","04","HARRIS","E","EE - 04","N"
"ALIEF ISD","LIESTMAN EL","101903109","101903","101","04","HARRIS","E","EE - 05","N"
"ALIEF ISD","MAHANAY EL","101903106","101903","101","04","HARRIS","E","EE - 05","N"
"ALIEF ISD","MARTIN EL","101903103","101903","101","04","HARRIS","E","EE - 04","N"
"ALIEF ISD","MATA INTERMEDIATE","101903143","101903","101","04","HARRIS","M","05 - 06","N"
"ALIEF ISD","MILLER INTERMEDIATE","101903144","101903","101","04","HARRIS","M","05 - 06","N"
"ALIEF ISD","O'DONNELL MIDDLE","101903046","101903","101","04","HARRIS","M","06 - 08","N"
"ALIEF ISD","OLLE MIDDLE","101903042","101903","101","04","HARRIS","M","07 - 08","N"
"ALIEF ISD","OUTLEY EL","101903119","101903","101","04","HARRIS","E","EE - 06","N"
"ALIEF ISD","OWENS INT","101903140","101903","101","04","HARRIS","M","05 - 06","N"
"ALIEF ISD","PETROSKY EL","101903110","101903","101","04","HARRIS","E","EE - 04","N"
"ALIEF ISD","REES EL","101903113","101903","101","04","HARRIS","E","PK - 04","N"
"ALIEF ISD","SMITH EL","101903105","101903","101","04","HARRIS","E","PK - 04","N"
"ALIEF ISD","SNEED EL","101903117","101903","101","04","HARRIS","E","KG - 05","N"
"ALIEF ISD","TAYLOR HIGH SCHOOL","101903003","101903","101","04","HARRIS","S","09 - 11","N"
"ALIEF ISD","YOUENS EL","101903101","101903","101","04","HARRIS","E","EE - 05","N"
"ALIEF ISD","YOUNGBLOOD INT","101903142","101903","101","04","HARRIS","M","05 - 06","N"
"ALIEF MONTESSORI COMMUNITY SCHOOL","ALIEF MONTESSORI COMMUNITY SCHOOL","101815101","101815","101","04","HARRIS","E","PK - 06","Y"
"ALLEN ISD","ALLEN H S","043901001","043901","043","10","COLLIN","S","09 - 12","N"
"ALLEN ISD","ALTON BOYD EL","043901102","043901","043","10","COLLIN","E","KG - 06","N"
"ALLEN ISD","ALVIS C STORY EL","043901105","043901","043","10","COLLIN","E","EE - 06","N"
"ALLEN ISD","BOLIN ELEMENTARY SCHOOL","043901110","043901","043","10","COLLIN","E","EE - 06","N"
"ALLEN ISD","D L ROUNTREE EL","043901101","043901","043","10","COLLIN","E","EE - 06","N"
"ALLEN ISD","FLOSSIE FLOYD GREEN EL","043901107","043901","043","10","COLLIN","E","KG - 06","N"
"ALLEN ISD","FRANCES E NORTON EL","043901108","043901","043","10","COLLIN","E","EE - 06","N"
"ALLEN ISD","GENE M REED EL","043901104","043901","043","10","COLLIN","E","EE - 06","N"
"ALLEN ISD","GEORGE J ANDERSON EL","043901109","043901","043","10","COLLIN","E","KG - 06","N"
"ALLEN ISD","KERR ELEMENTARY SCHOOL","043901111","043901","043","10","COLLIN","E","KG - 06","N"
"ALLEN ISD","LOWERY FRESHMAN CENTER","043901002","043901","043","10","COLLIN","S","09 - 09","N"
"ALLEN ISD","MAX O VAUGHAN EL","043901106","043901","043","10","COLLIN","E","KG - 06","N"
"ALLEN ISD","W E PETE FORD MIDDLE","043901042","043901","043","10","COLLIN","M","07 - 08","N"
"ALLEN ISD","WALTER & LOIS CURTIS MIDDLE","043901043","043901","043","10","COLLIN","M","07 - 08","N"
"ALLISON ISD","ALLISON SCHOOL","242904001","242904","242","16","WHEELER","B","PK - 12","N"
"ALPHA CHARTER SCHOOL","ALPHA CHARTER SCHOOL","057832001","057832","057","10","DALLAS","B","KG - 12","Y"
"ALPHONSO CRUTCH'S-LIFE SUPPORT CEN","ALPHONSO CRUTCH'S-LIFE SUPPORT CE","101817001","101817","101","04","HARRIS","B","06 - 12","Y"
"ALPINE ISD","ALPINE EL","022901101","022901","022","18","BREWSTER","E","EE - 04","N"
"ALPINE ISD","ALPINE H S","022901001","022901","022","18","BREWSTER","S","09 - 12","N"
"ALPINE ISD","ALPINE MIDDLE","022901041","022901","022","18","BREWSTER","M","05 - 08","N"
"ALTO ISD","ALTO EL","037901101","037901","037","07","CHEROKEE","E","PK - 04","N"
"ALTO ISD","ALTO H S","037901001","037901","037","07","CHEROKEE","S","09 - 12","N"
"ALTO ISD","ALTO MIDDLE","037901041","037901","037","07","CHEROKEE","M","05 - 08","N"
"ALVARADO ISD","ALVARADO EL-NORTH","126901102","126901","126","11","JOHNSON","E","EE - 04","N"
"ALVARADO ISD","ALVARADO EL-SOUTH","126901101","126901","126","11","JOHNSON","E","PK - 04","N"
"ALVARADO ISD","ALVARADO H S","126901001","126901","126","11","JOHNSON","S","08 - 12","N"
