"ALDINE ISD","JOHNSON ELEMENTARY","AEMZ","101902116","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","KEEBLE EC/PRE-K CENTER"," ","101902151","101902","101","04","HARRIS","E","EE - PK","N"," "," ","X"
"ALDINE ISD","LANE SCHOOL"," ","101902108","101902","101","04","HARRIS","B","EE - 12","N"," "," ","X"
"ALDINE ISD","MACARTHUR HIGH SCHOOL"," ","101902003","101902","101","04","HARRIS","S","09 - 12","N"," "," ","A"
"ALDINE ISD","MACARTHUR NINTH GRADE SCHOOL","Y","101902083","101902","101","04","HARRIS","S","09 - 09","N"," "," ","R"
"ALDINE ISD","MAGRILL ELEMENTARY","AE","101902120","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","MENDEL ELEMENTARY","AMX","101902109","101902","101","04","HARRIS","E","KG - 04","N"," "," ","E"
"ALDINE ISD","NIMITZ HIGH SCHOOL","R","101902005","101902","101","04","HARRIS","S","09 - 12","N"," "," ","A"
"ALDINE ISD","NIMITZ NINTH GRADE SCHOOL","AZ","101902085","101902","101","04","HARRIS","S","09 - 09","N"," "," ","A"
"ALDINE ISD","NORTHWEST INTERMEDIATE","A","101902069","101902","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALDINE ISD","ODOM ELEMENTARY","EX","101902115","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","OLESON ELEMENTARY","AEWM","101902111","101902","101","04","HARRIS","E","KG - 04","N"," "," ","E"
"ALDINE ISD","ORANGE GROVE ELEMENTARY"," ","101902112","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","PARKER INTERMEDIATE"," ","101902065","101902","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALDINE ISD","RAYMOND ACADEMY","EM","101902113","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","REECE ACADEMY"," ","101902104","101902","101","04","HARRIS","E","PK - KG","N"," "," ","X"
"ALDINE ISD","REED ACADEMY"," ","101902068","101902","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALDINE ISD","SAMMONS ELEMENTARY"," ","101902118","101902","101","04","HARRIS","E","KG - 04","N"," "," ","A"
"ALDINE ISD","SHOTWELL MIDDLE"," ","101902047","101902","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALDINE ISD","SMITH ACADEMY","Y","101902114","101902","101","04","HARRIS","E","KG - 04","N"," "," ","A"
"ALDINE ISD","STEHLIK INTERMEDIATE","X","101902064","101902","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALDINE ISD","STEPHENS ELEMENTARY","EWMX","101902119","101902","101","04","HARRIS","E","KG - 04","N"," "," ","E"
"ALDINE ISD","STOVALL ACADEMY","X","101902127","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","STOVALL MIDDLE","WZ","101902044","101902","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALDINE ISD","TEAGUE MIDDLE","Y","101902045","101902","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALDINE ISD","THOMPSON ELEMENTARY","EM","101902117","101902","101","04","HARRIS","E","KG - 04","N"," "," ","E"
"ALDINE ISD","VINES EC/PRE-K CENTER"," ","101902154","101902","101","04","HARRIS","E","EE - PK","N"," "," ","X"
"ALDINE ISD","WILSON INTERMEDAITE","AX","101902067","101902","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALDINE ISD","WORSHAM ELEMENTARY","AEM","101902110","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALEDO ISD","ALEDO HIGH SCHOOL","ADPTRS","184907001","184907","184","11","PARKER","S","09 - 12","N"," "," ","R"
"ALEDO ISD","ALEDO LEARNING CENTER"," ","184907002","184907","184","11","PARKER","S","10 - 12","N"," "," ","X"
"ALEDO ISD","ALEDO MIDDLE SCHOOL","AWS","184907041","184907","184","11","PARKER","M","07 - 08","N"," "," ","A"
"ALEDO ISD","CODER ELEMENTARY","EWMX","184907102","184907","184","11","PARKER","E","EE - 04","N"," "," ","E"
"ALEDO ISD","MCANALLY INTERMEDIATE","AEMNX","184907110","184907","184","11","PARKER","M","05 - 06","N"," "," ","E"
"ALEDO ISD","STUARD ELEMENTARY","AEWMZ","184907103","184907","184","11","PARKER","E","KG - 04","N"," "," ","E"
"ALEDO ISD","VANDAGRIFF ELEMENTARY","EWM","184907101","184907","184","11","PARKER","E","KG - 04","N"," "," ","E"
"ALICE ISD","ADAMS MIDDLE","W","125901043","125901","125","02","JIM WELLS","M","07 - 08","N"," "," ","A"
"ALICE ISD","ALICE H S","R","125901001","125901","125","02","JIM WELLS","S","09 - 12","N"," "," ","A"
"ALICE ISD","DUBOSE INTERMEDIATE"," ","125901041","125901","125","02","JIM WELLS","M","05 - 06","N"," "," ","A"
"ALICE ISD","GARCIA EL"," ","125901102","125901","125","02","JIM WELLS","E","KG - 04","N"," "," ","R"
"ALICE ISD","HILLCREST EL","EW","125901101","125901","125","02","JIM WELLS","E","KG - 04","N"," "," ","R"
"ALICE ISD","MEMORIAL INTERMEDIATE"," ","125901042","125901","125","02","JIM WELLS","M","05 - 06","N"," "," ","A"
"ALICE ISD","NOONAN EL"," ","125901104","125901","125","02","JIM WELLS","E","EE - 04","N"," "," ","R"
"ALICE ISD","SAENZ EL","Y","125901105","125901","125","02","JIM WELLS","E","EE - 04","N"," "," ","A"
"ALICE ISD","SALAZAR EL","Y","125901106","125901","125","02","JIM WELLS","E","KG - 04","N"," "," ","R"
"ALICE ISD","SCHALLERT EL","EWM","125901107","125901","125","02","JIM WELLS","E","PK - 04","N"," "," ","R"
"ALIEF ISD","ADMIN SERVICES"," ","101903199","101903","101","04","HARRIS","B","05 - 12","N"," "," ","X"
"ALIEF ISD","ALBRIGHT MIDDLE","SX","101903045","101903","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALIEF ISD","ALEXANDER EL"," ","101903114","101903","101","04","HARRIS","E","PK - 04","N"," "," ","A"
"ALIEF ISD","ALIEF ISD J J A E P"," ","101903047","101903","101","04","HARRIS","B","04 - 12","N"," "," ","X"
"ALIEF ISD","ALIEF MIDDLE"," ","101903041","101903","101","04","HARRIS","M","06 - 08","N"," "," ","A"
"ALIEF ISD","BEST EL","Y","101903118","101903","101","04","HARRIS","E","EE - 04","N"," "," ","A"
"ALIEF ISD","BOONE EL","EM","101903102","101903","101","04","HARRIS","E","PK - 04","N"," "," ","R"
"ALIEF ISD","BUDEWIG INTERMEDIATE","AEMZ","101903145","101903","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALIEF ISD","BUSH EL","WY","101903121","101903","101","04","HARRIS","E","PK - 04","N"," "," ","R"
"ALIEF ISD","CHAMBERS EL","Z","101903104","101903","101","04","HARRIS","E","PK - 04","N"," "," ","R"
"ALIEF ISD","CHANCELLOR EL","AMNX","101903108","101903","101","04","HARRIS","E","EE - 05","N"," "," ","R"
"ALIEF ISD","COLLINS ELEMENTARY"," ","101903122","101903","101","04","HARRIS","E","PK - 05","N"," "," ","A"
"ALIEF ISD","CUMMINGS EL","X","101903112","101903","101","04","HARRIS","E","EE - 04","N"," "," ","A"
"ALIEF ISD","ELSIK H S","R","101903002","101903","101","04","HARRIS","S","09 - 12","N"," "," ","A"
"ALIEF ISD","HASTINGS H S","X","101903001","101903","101","04","HARRIS","S","09 - 12","N"," "," ","A"
"ALIEF ISD","HEARNE EL","X","101903115","101903","101","04","HARRIS","E","EE - 04","N"," "," ","R"
"ALIEF ISD","HEFLIN EL"," ","101903111","101903","101","04","HARRIS","E","PK - 04","N"," "," ","A"
"ALIEF ISD","HICKS EL","AWY","101903120","101903","101","04","HARRIS","E","EE - 04","N"," "," ","R"
"ALIEF ISD","HOLUB MIDDLE"," ","101903044","101903","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALIEF ISD","KENNEDY EL","Y","101903107","101903","101","04","HARRIS","E","EE - 04","N"," "," ","R"
"ALIEF ISD","KERR H S","APTRS","101903006","101903","101","04","HARRIS","S","09 - 12","N"," "," ","A"
"ALIEF ISD","KILLOUGH MIDDLE"," ","101903043","101903","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALIEF ISD","KLENTZMAN INT","Z","101903141","101903","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALIEF ISD","LANDIS EL","Y","101903116","101903","101","04","HARRIS","E","EE - 04","N"," "," ","A"
"ALIEF ISD","LIESTMAN EL","X","101903109","101903","101","04","HARRIS","E","PK - 05","N"," "," ","R"
"ALIEF ISD","MAHANAY EL","Z","101903106","101903","101","04","HARRIS","E","EE - 04","N"," "," ","R"
"ALIEF ISD","MARTIN EL","X","101903103","101903","101","04","HARRIS","E","EE - 04","N"," "," ","A"
"ALIEF ISD","MATA INTERMEDIATE","AEMZ","101903143","101903","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALIEF ISD","MILLER INTERMEDIATE","EMZ","101903144","101903","101","04","HARRIS","E","04 - 06","N"," "," ","A"
"ALIEF ISD","O'DONNELL MIDDLE"," ","101903046","101903","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALIEF ISD","OLLE MIDDLE"," ","101903042","101903","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALIEF ISD","OUTLEY EL","EMZ","101903119","101903","101","04","HARRIS","E","PK - 05","N"," "," ","R"
"ALIEF ISD","OWENS INT","EMZ","101903140","101903","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALIEF ISD","PETROSKY EL","X","101903110","101903","101","04","HARRIS","E","PK - 04","N"," "," ","R"
"ALIEF ISD","REES EL","Z","101903113","101903","101","04","HARRIS","E","PK - 04","N"," "," ","R"
"ALIEF ISD","SMITH EL","Y","101903105","101903","101","04","HARRIS","E","PK - 04","N"," "," ","A"
"ALIEF ISD","SNEED EL","EWZ","101903117","101903","101","04","HARRIS","E","EE - 04","N"," "," ","R"
"ALIEF ISD","TAYLOR HIGH SCHOOL","RX","101903003","101903","101","04","HARRIS","S","09 - 12","N"," "," ","A"
"ALIEF ISD","YOUENS EL"," ","101903101","101903","101","04","HARRIS","E","EE - 05","N"," "," ","A"
"ALIEF ISD","YOUNGBLOOD INT"," ","101903142","101903","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALIEF MONTESSORI COMMUNITY SCHOOL","ALIEF MONTESSORI COMMUNITY SCHOOL","AEWMNZ","101815101","101815","101","04","HARRIS","E","PK - 05","Y"," "," ","R"
"ALLEN ISD","ALLEN H S","S","043901001","043901","043","10","COLLIN","S","09 - 12","N"," "," ","A"
"ALLEN ISD","ALTON BOYD EL","MN","043901102","043901","043","10","COLLIN","E","KG - 06","N"," "," ","R"
"ALLEN ISD","ALVIS C STORY EL","AEWMN","043901105","043901","043","10","COLLIN","E","EE - 06","N"," "," ","R"
"ALLEN ISD","BOLIN ELEMENTARY SCHOOL","AEWMN","043901110","043901","043","10","COLLIN","E","EE - 06","N"," "," ","R"
"ALLEN ISD","D L ROUNTREE EL","AEWMNZ","043901101","043901","043","10","COLLIN","E","EE - 06","N"," "," ","R"
"ALLEN ISD","ERECKSON MS","S","043901044","043901","043","10","COLLIN","M","07 - 08","N"," "," ","A"
"ALLEN ISD","FLOSSIE FLOYD GREEN EL","AEWMN","043901107","043901","043","10","COLLIN","E","EE - 06","N"," "," ","E"
